Country_x,City,Latitude,Longitude,City_ID,Cloudiness,Country_y,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
us,margate,26.2441667,-80.2066667,126,40,AU,1558378778,66,-43.03,147.26,57.99,5.82
za,margate,-30.863595,30.370521999999998,126,40,AU,1558378778,66,-43.03,147.26,57.99,5.82
ca,aklavik,68.216667,-135.0,127,75,CA,1558378563,50,68.22,-135.01,55.4,3.09
ru,lokosovo,61.13333299999999,74.81666700000001,128,100,RU,1558378778,68,61.13,74.84,44.52,9.17
nc,paita,-22.1333333,166.3666667,129,0,PE,1558378778,290,-5.09,-81.11,62.6,17.22
pe,paita,-5.0841667,-81.1105556,129,0,PE,1558378778,290,-5.09,-81.11,62.6,17.22
co,cravo norte,6.301735,-70.204154,130,100,CO,1558378778,67,6.3,-70.2,85.02,3.09
ru,motygino,58.18305600000001,94.759167,131,85,RU,1558378778,84,58.18,94.69,49.2,5.23
us,west wendover,40.7391667,-114.0725,132,40,US,1558378779,66,40.74,-114.07,51.8,4.7
dz,adrar,27.9,-0.2833333,133,40,DZ,1558378779,17,27.87,-0.29,89.6,28.86
it,melfi,41.0,15.65,134,20,IT,1558378779,87,41.0,15.66,59.0,10.29
td,melfi,11.0597222,17.9330556,134,20,IT,1558378779,87,41.0,15.66,59.0,10.29
tz,kibaya,-5.3,36.5666667,135,75,RW,1558378779,88,-2.2,30.56,66.2,3.36
ca,iqaluit,63.733332999999995,-68.5,136,90,CA,1558378780,86,63.75,-68.52,33.8,6.93
ru,lavrentiya,65.583333,-171.0,137,31,RU,1558378780,95,65.58,-170.99,28.32,6.4
mg,morondava,-20.283333300000002,44.283333299999995,138,0,MG,1558378780,69,-20.3,44.28,79.08,9.06
to,vaini,-21.2,-175.2,139,0,IN,1558378780,88,15.34,74.49,78.9,1.59
ca,georgetown,43.65,-79.93333299999999,140,75,GY,1558378612,83,6.8,-58.16,82.4,11.41
gy,georgetown,6.8,-58.1666667,140,75,GY,1558378612,83,6.8,-58.16,82.4,11.41
sh,georgetown,-7.9333333,-14.416666699999999,140,75,GY,1558378612,83,6.8,-58.16,82.4,11.41
us,georgetown,38.69,-75.3858333,140,75,GY,1558378612,83,6.8,-58.16,82.4,11.41
us,georgetown,38.2097222,-84.55888890000001,140,75,GY,1558378612,83,6.8,-58.16,82.4,11.41
us,georgetown,33.3766667,-79.29472220000001,140,75,GY,1558378612,83,6.8,-58.16,82.4,11.41
us,georgetown,30.6325,-97.6769444,140,75,GY,1558378612,83,6.8,-58.16,82.4,11.41
vc,georgetown,13.266666699999998,-61.1166667,140,75,GY,1558378612,83,6.8,-58.16,82.4,11.41
cn,sanchazi,42.081666999999996,126.600278,141,0,CN,1558378781,82,30.43,103.62,64.4,2.24
in,sarai mir,26.016667,82.916667,142,0,IN,1558378781,35,26.02,82.92,86.0,3.36
cn,yichun,27.833333000000003,114.4,143,89,CN,1558378781,98,47.72,128.88,41.64,3.58
cn,yichun,47.7,128.9,143,89,CN,1558378781,98,47.72,128.88,41.64,3.58
us,plainview,40.77638889999999,-73.4677778,144,40,US,1558378590,37,34.18,-101.71,84.99,18.34
us,plainview,34.1847222,-101.70638890000001,144,40,US,1558378590,37,34.18,-101.71,84.99,18.34
ar,comodoro rivadavia,-45.864135,-67.496558,145,0,AR,1558378608,37,-45.87,-67.48,55.4,16.11
az,nardaran,40.556111,50.005556,146,40,AZ,1558378782,52,40.56,50.01,66.2,19.46
do,nagua,19.3833333,-69.83333329999999,147,75,DO,1558378782,70,19.37,-69.85,89.6,6.93
om,ibra,22.6902778,58.5469444,148,100,OM,1558378782,41,22.69,58.55,87.18,17.4
cn,ganzhou,25.85,114.933333,149,1,CN,1558378783,66,25.86,114.93,64.32,3.42
ru,talnakh,69.4865,88.3972,150,75,RU,1558378783,92,69.49,88.39,15.8,29.08
mx,coahuayana,18.7,-103.658333,151,1,MX,1558378783,22,18.62,-100.35,100.5,4.38
gf,sinnamary,5.383333299999999,-52.95,152,100,GF,1558378783,81,5.38,-52.96,82.5,10.96
cv,porto novo,17.033333300000002,-25.0666667,153,20,BR,1558378783,53,-23.68,-45.44,77.0,4.7
no,havoysund,71.000556,24.696111,154,20,NO,1558378784,80,71.0,24.66,39.2,24.16
no,bjornevatn,69.667222,29.984721999999998,155,75,NO,1558378688,93,69.67,29.98,37.4,20.8
gl,narsaq,77.3025,-68.8425,156,20,GL,1558378784,28,60.91,-46.05,57.2,9.17
kn,charlestown,17.1333333,-62.6166667,157,1,US,1558378784,64,41.38,-71.64,87.01,12.75
us,charlestown,43.2386111,-72.425,157,1,US,1558378784,64,41.38,-71.64,87.01,12.75
us,charlestown,41.383055600000006,-71.6422222,157,1,US,1558378784,64,41.38,-71.64,87.01,12.75
th,trat,12.241028,102.515472,158,93,TH,1558378784,70,12.25,102.51,91.0,1.88
id,manado,1.4869999999999999,124.8455,159,40,ID,1558378784,100,1.49,124.85,73.4,4.97
it,trapani,38.016667,12.483333,160,20,IT,1558378785,72,38.02,12.54,66.2,17.22
br,sao joao da barra,-21.633333,-41.05,161,40,BR,1558378785,55,-21.64,-41.05,86.0,3.36
re,saint-philippe,-21.35,55.7666667,162,75,CA,1558378785,53,45.36,-73.48,75.0,29.97
ca,haines junction,60.75,-137.5,163,11,CA,1558378785,48,60.75,-137.51,51.18,7.23
np,kathmandu,27.7166667,85.3166667,164,75,NP,1558378762,73,27.71,85.32,71.6,6.67
ca,norman wells,65.283333,-126.85,165,75,CA,1558378785,45,65.28,-126.83,66.2,6.93
us,brainerd,46.35805560000001,-94.2005556,166,1,US,1558378527,40,46.36,-94.2,63.0,5.82
cn,yumen,39.833333,97.733333,167,2,CN,1558378785,10,40.29,97.04,59.1,1.5
no,straumen,67.35,15.6,168,0,NO,1558378786,52,63.87,11.3,68.0,9.17
no,straumen,63.86666700000001,11.3,168,0,NO,1558378786,52,63.87,11.3,68.0,9.17
pt,camacha,33.083333,-16.333333,169,40,PT,1558378786,72,33.08,-16.33,68.0,14.99
ru,teya,60.377778,92.626667,170,75,MX,1558378786,39,21.05,-89.07,99.0,16.11
ru,vitim,59.451111,112.557778,171,81,RU,1558378786,83,59.44,112.57,37.32,2.98
mg,antsohihy,-14.866666699999998,47.9833333,172,100,MG,1558378786,74,-14.88,47.99,80.7,5.35
pg,kavieng,-2.5666667000000003,150.8,173,100,PG,1558378787,75,-2.57,150.8,82.86,3.76
co,la esperanza,8.210434,-72.46399,174,75,HN,1558378787,62,14.31,-88.18,87.8,4.7
gt,la esperanza,14.866667000000001,-91.56666700000001,174,75,HN,1558378787,62,14.31,-88.18,87.8,4.7
hn,la esperanza,15.633333300000002,-85.7666667,174,75,HN,1558378787,62,14.31,-88.18,87.8,4.7
hn,la esperanza,15.05,-89.1,174,75,HN,1558378787,62,14.31,-88.18,87.8,4.7
hn,la esperanza,15.416666699999999,-88.1833333,174,75,HN,1558378787,62,14.31,-88.18,87.8,4.7
hn,la esperanza,14.3,-88.1833333,174,75,HN,1558378787,62,14.31,-88.18,87.8,4.7
pa,la esperanza,8.4,-82.8,174,75,HN,1558378787,62,14.31,-88.18,87.8,4.7
ca,clyde river,70.45,-68.56666700000001,175,75,CA,1558378787,86,70.47,-68.59,28.4,12.75
ma,nador,35.174040999999995,-2.92866,176,0,MA,1558378499,40,35.17,-2.93,75.2,6.93
is,keflavik,64.016667,-22.566667000000002,177,75,IS,1558378788,100,64.0,-22.56,51.01,9.17
td,faya,17.9166667,19.1166667,178,20,SA,1558378788,76,18.39,42.45,59.0,5.82
ru,chokurdakh,70.633333,147.916667,179,0,RU,1558378788,89,70.62,147.9,7.08,5.99
mq,le marin,14.4666667,-60.8666667,180,75,MQ,1558378788,62,14.47,-60.87,87.8,19.46
gl,tasiilaq,65.6,-37.6333333,181,75,GL,1558378788,74,65.61,-37.64,35.6,12.75
ru,udachnyy,66.416667,112.4,182,90,RU,1558378789,48,66.42,112.4,39.2,11.18
lr,monrovia,6.3105556,-10.804722199999999,183,40,LR,1558378789,79,6.33,-10.8,84.2,9.17
us,monrovia,34.148055600000006,-117.99805559999999,183,40,LR,1558378789,79,6.33,-10.8,84.2,9.17
au,burnie,-41.05584,145.903748,184,76,AU,1558378789,87,-41.05,145.91,53.01,5.99
nz,kaitangata,-46.275,169.85,185,16,NZ,1558378789,67,-46.28,169.85,52.0,10.0
jp,yamada,39.466667,141.95,186,75,JP,1558378789,93,36.58,137.08,63.0,2.24
au,mackay,-21.15345,149.16554299999999,187,20,CA,1558378789,28,53.65,-115.58,59.0,20.8
pt,lagoa,37.135349,-8.453188,188,20,PT,1558378790,46,37.14,-8.45,73.4,18.34
pt,lagoa,39.05,-27.983333000000002,188,20,PT,1558378790,46,37.14,-8.45,73.4,18.34
nz,bluff,-46.6,168.333333,189,1,AU,1558378790,89,-23.58,149.07,61.08,11.83
ca,saint-georges,46.116667,-70.666667,190,94,CA,1558378595,76,46.12,-70.67,71.01,8.99
gf,saint-georges,3.9,-51.8,190,94,CA,1558378595,76,46.12,-70.67,71.01,8.99
ru,naryan-mar,67.641793,53.043071,191,0,RU,1558378791,90,67.67,53.09,27.24,8.19
